"Date","Price","Open","High","Low","Vol.","Change %"
"10-07-2022","197.33","197.05","199.17","195.84","31.31B","0.13%"
"03-07-2022","197.07","197.15","198.24","191.37","34.75B","-0.04%"
"26-06-2022","197.14","203.53","204.00","196.72","41.18B","-3.14%"
"19-06-2022","203.53","200.27","203.90","198.29","54.27B","1.63%"
"12-06-2022","200.27","203.79","204.10","198.38","68.02B","-2.69%"
"05-06-2022","205.80","209.02","210.27","204.98","57.84B","-1.68%"
"29-05-2022","209.31","206.01","210.32","204.81","51.35B","2.01%"
"22-05-2022","205.19","203.35","206.04","200.80","34.01B","1.19%"
"15-05-2022","202.77","199.59","203.24","197.66","36.41B","1.44%"
"08-05-2022","199.90","208.05","208.19","196.26","43.46B","-3.98%"
"01-05-2022","208.18","208.18","208.18","208.18","","0.00%"
"24-04-2022","208.18","204.05","209.05","201.62","42.31B","1.75%"
"17-04-2022","204.61","205.68","208.19","203.73","57.14B","-0.42%"
"10-04-2022","205.48","206.63","207.22","201.72","69.92B","-0.47%"
"03-04-2022","206.46","200.45","206.70","200.39","54.40B","3.09%"
"27-03-2022","200.27","197.91","200.98","197.75","53.15B","1.21%"
"20-03-2022","197.88","195.32","199.56","194.35","56.34B","1.49%"
"13-03-2022","194.98","196.51","197.38","192.23","59.63B","-0.60%"
"06-03-2022","196.15","195.61","196.51","191.89","62.02B","0.52%"
"27-02-2022","195.13","194.27","195.39","192.03","32.25B","1.46%"
"20-02-2022","192.32","194.32","195.49","188.94","66.79B","-1.09%"
"13-02-2022","194.44","192.96","194.94","190.45","56.20B","0.35%"
"06-02-2022","193.77","192.39","195.56","192.38","61.91B","0.80%"
"30-01-2022","192.23","188.37","192.23","188.29","39.56B","2.05%"
"23-01-2022","188.36","189.34","189.65","185.52","55.83B","-0.74%"
"16-01-2022","189.77","188.29","189.77","183.48","46.97B","0.92%"
"09-01-2022","188.03","190.29","190.62","186.51","50.66B","-1.05%"
"02-01-2022","190.04","188.90","191.96","187.13","48.21B","0.54%"
"26-12-2021","189.02","188.35","190.14","188.21","44.99B","0.55%"
"19-12-2021","187.98","187.40","188.33","185.99","53.32B","0.08%"
"12-12-2021","187.84","190.15","190.83","186.60","52.09B","-1.12%"
"05-12-2021","189.96","186.71","189.96","185.83","53.13B","1.80%"
"28-11-2021","186.60","187.23","189.25","185.41","38.38B","-0.50%"
"21-11-2021","187.55","191.10","192.66","186.78","57.22B","-1.78%"
"14-11-2021","190.95","188.16","190.95","186.70","53.54B","1.54%"
"07-11-2021","188.06","186.37","188.97","185.87","37.82B","1.10%"
"31-10-2021","186.01","186.05","186.89","182.85","44.27B","0.12%"
"24-10-2021","185.79","186.68","188.35","183.72","41.97B","-0.38%"
"17-10-2021","186.51","188.64","189.56","185.13","35.03B","-0.91%"
"10-10-2021","188.21","185.77","189.89","184.52","46.29B","1.47%"
"03-10-2021","185.48","179.80","186.19","179.80","51.74B","3.26%"
"26-09-2021","179.62","176.35","181.54","175.19","60.27B","1.90%"
"19-09-2021","176.28","175.53","176.52","171.58","52.55B","0.36%"
"12-09-2021","175.65","174.10","176.69","172.88","51.32B","0.72%"
"05-09-2021","174.40","175.44","176.20","171.11","50.38B","-0.49%"
"29-08-2021","175.26","173.01","176.50","173.01","55.83B","1.60%"
"22-08-2021","172.49","172.49","176.10","171.99","59.82B","0.28%"
"15-08-2021","172.02","176.18","176.31","169.70","52.62B","-2.29%"
"08-08-2021","176.05","177.39","179.19","171.97","50.06B","-0.83%"
"01-08-2021","177.52","175.87","179.15","174.94","61.48B","1.18%"
"25-07-2021","175.44","175.91","177.97","174.63","53.21B","-0.19%"
"18-07-2021","175.78","175.51","177.64","174.16","31.31B","0.04%"
"11-07-2021","175.71","176.76","177.62","172.61","43.99B","-0.28%"
"04-07-2021","176.20","173.53","176.87","171.87","46.62B","1.68%"
"27-06-2021","173.28","173.27","174.02","170.35","59.18B","0.18%"
"20-06-2021","172.96","169.34","175.27","167.02","56.16B","1.07%"
"13-06-2021","171.13","174.84","175.05","169.64","65.09B","-2.10%"
"06-06-2021","174.80","176.95","177.47","172.47","53.07B","-0.98%"
"30-05-2021","176.52","172.31","177.95","171.98","36.36B","2.66%"
"23-05-2021","171.94","170.62","173.48","168.49","38.75B","1.03%"
"16-05-2021","170.19","175.51","175.78","169.48","50.33B","-2.82%"
"09-05-2021","175.12","175.33","176.85","174.69","16.55B","0.18%"
"02-05-2021","174.81","177.07","177.22","174.54","45.68B","-1.30%"
"25-04-2021","177.12","176.70","177.96","174.25","46.56B","0.29%"
"18-04-2021","176.60","179.31","179.73","175.73","49.53B","-1.52%"
"11-04-2021","179.32","179.01","179.44","173.16","44.45B","0.15%"
"04-04-2021","179.05","178.72","180.62","176.13","44.07B","0.64%"
"28-03-2021","177.92","182.30","183.60","173.90","28.15B","-2.32%"
"21-03-2021","182.13","184.44","185.25","177.42","38.52B","-1.17%"
"14-03-2021","184.29","183.95","184.62","182.35","43.56B","0.33%"
"07-03-2021","183.68","180.41","183.86","177.34","39.13B","2.38%"
"28-02-2021","179.41","183.93","185.90","179.15","53.19B","-2.16%"
"21-02-2021","183.36","183.34","185.37","180.78","50.69B","0.45%"
"14-02-2021","182.55","184.18","186.48","181.18","42.78B","-0.61%"
"07-02-2021","183.67","182.96","185.63","180.94","34.25B","0.81%"
"31-01-2021","182.19","172.26","182.46","169.36","50.37B","5.78%"
"24-01-2021","172.23","184.61","184.62","171.08","55.43B","-6.86%"
"17-01-2021","184.91","189.24","191.59","184.12","67.94B","-2.40%"
"10-01-2021","189.45","187.19","191.83","187.16","86.08B","1.29%"
"03-01-2021","187.05","178.10","187.70","175.91","70.68B","5.39%"
"27-12-2020","177.48","180.27","183.50","176.64","37.54B","-0.77%"
"20-12-2020","178.86","181.88","185.19","173.93","45.49B","-1.38%"
"13-12-2020","181.36","175.68","183.21","175.68","93.83B","3.64%"
"06-12-2020","174.99","170.88","176.03","170.88","73.94B","2.99%"
"29-11-2020","169.91","169.87","171.71","163.62","75.41B","0.07%"
"22-11-2020","169.80","162.91","170.29","162.91","89.64B","4.61%"
"15-11-2020","162.32","159.63","163.82","159.33","60.06B","2.27%"
"08-11-2020","158.71","156.72","160.08","155.47","45.69B","1.66%"
"01-11-2020","156.12","149.92","156.16","148.68","36.59B","3.75%"
"25-10-2020","150.47","151.24","151.75","149.92","16.13B","-0.46%"
"18-10-2020","151.17","150.75","151.72","150.00","41.36B","0.70%"
"11-10-2020","150.12","148.93","151.68","147.52","34.79B","1.26%"
"04-10-2020","148.25","146.05","148.32","145.35","32.60B","1.82%"
"27-09-2020","145.60","145.06","146.89","142.78","33.70B","0.62%"
"20-09-2020","144.70","148.09","148.46","141.26","31.44B","-2.27%"
"13-09-2020","148.06","146.83","150.10","145.81","37.42B","1.69%"
"06-09-2020","145.60","150.93","152.03","137.66","35.05B","-3.56%"
"30-08-2020","150.98","153.21","153.85","149.43","36.55B","-1.45%"
"23-08-2020","153.21","152.05","153.87","151.72","45.08B","0.76%"
"16-08-2020","152.05","151.98","153.36","151.87","13.60B","0.04%"
"09-08-2020","151.98","151.26","153.10","150.78","26.08B","0.48%"
"02-08-2020","151.26","150.13","152.69","143.34","28.11B","0.75%"
"26-07-2020","150.13","149.70","150.61","148.67","24.59B","0.29%"
"19-07-2020","149.70","148.84","151.22","147.49","29.89B","0.58%"
"12-07-2020","148.84","146.55","149.74","146.55","23.32B","1.56%"
"05-07-2020","146.55","146.98","149.58","146.37","25.02B","-0.29%"
"28-06-2020","146.98","146.26","147.80","143.79","18.12B","0.49%"
"21-06-2020","146.26","148.14","148.66","145.21","18.45B","-1.27%"
"14-06-2020","148.14","145.46","149.87","144.22","24.45B","1.84%"
"07-06-2020","145.46","148.80","153.05","141.76","34.48B","-2.24%"
"31-05-2020","148.80","143.81","150.40","143.81","26.63B","3.47%"
"24-05-2020","143.81","140.27","144.14","139.77","20.14B","2.52%"
"17-05-2020","140.27","140.07","142.97","139.43","9.12B","0.14%"
"10-05-2020","140.07","140.74","142.93","138.05","16.06B","-0.47%"
"03-05-2020","140.74","144.87","144.87","139.83","12.47B","-2.85%"
"26-04-2020","144.87","136.77","145.46","136.56","13.12B","5.92%"
"19-04-2020","136.77","138.02","139.70","132.95","17.40B","-0.91%"
"12-04-2020","138.02","137.86","140.84","133.20","20.57B","0.11%"
"05-04-2020","137.86","136.66","145.85","134.42","18.82B","0.88%"
"29-03-2020","136.66","132.29","136.69","125.85","14.80B","3.30%"
"22-03-2020","132.29","123.78","136.35","115.10","15.41B","6.87%"
"15-03-2020","123.78","142.21","142.20","114.41","11.57B","-12.96%"
"08-03-2020","142.21","156.08","156.08","135.09","13.32B","-11.25%"
"01-03-2020","160.23","157.25","165.94","155.20","13.13B","2.22%"
"23-02-2020","156.75","168.39","169.31","153.03","13.61B","-7.58%"
"16-02-2020","169.61","168.66","171.95","168.12","10.90B","0.62%"
"09-02-2020","168.57","173.92","173.98","167.16","10.16B","-3.04%"
"02-02-2020","173.86","172.55","174.29","171.06","11.17B","0.41%"
"26-01-2020","173.15","182.34","182.40","172.69","11.20B","-5.13%"
"19-01-2020","182.51","184.59","184.84","181.76","13.26B","-1.06%"
"12-01-2020","184.47","185.51","185.96","183.56","14.07B","-0.34%"
"05-01-2020","185.10","186.99","187.20","183.46","12.73B","-1.32%"
